Water Type,Date,Year,Month,Location,Latitude,Longitude,"Carbon, Organic, Dissolved as C :- {DOC}",pH,Nitrate as N,"Oxygen, Dissolved as O2",text
GROUNDWATER,2004-03,2004,3,1/22/05/68 DOE HILL,55.221357954991404,-1.8080433751688922,0.0,7.7,4.29,8.67,"Dissolved Organic Carbon Content = 0.0           , pH =           7.7           , Nitrate as N = 4.29           , Dissolved Oxygen as O2 = 8.67"
GROUNDWATER,2007-10,2007,10,HURY FARM,54.579331947344905,-2.0607675176590723,1.81,0.0,4.0,0.0,"Dissolved Organic Carbon Content = 1.81           , pH =           0.0           , Nitrate as N = 4.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2009-01,2009,1,HURY FARM,54.579331947344905,-2.0607675176590723,1.97,0.0,5.15,11.9,"Dissolved Organic Carbon Content = 1.97           , pH =           0.0           , Nitrate as N = 5.15           , Dissolved Oxygen as O2 = 11.9"
GROUNDWATER,2009-02,2009,2,HURY FARM,54.579331947344905,-2.0607675176590723,1.13,0.0,4.95,8.24,"Dissolved Organic Carbon Content = 1.13           , pH =           0.0           , Nitrate as N = 4.95           , Dissolved Oxygen as O2 = 8.24"
GROUNDWATER,2009-11,2009,11,HURY FARM,54.579331947344905,-2.0607675176590723,3.52,0.0,5.55,11.9,"Dissolved Organic Carbon Content = 3.52           , pH =           0.0           , Nitrate as N = 5.55           , Dissolved Oxygen as O2 = 11.9"
GROUNDWATER,2009-12,2009,12,HURY FARM,54.579331947344905,-2.0607675176590723,1.38,7.2,5.42,10.4,"Dissolved Organic Carbon Content = 1.38           , pH =           7.2           , Nitrate as N = 5.42           , Dissolved Oxygen as O2 = 10.4"
GROUNDWATER,2010-02,2010,2,HURY FARM,54.579331947344905,-2.0607675176590723,1.02,0.0,5.55,11.7,"Dissolved Organic Carbon Content = 1.02           , pH =           0.0           , Nitrate as N = 5.55           , Dissolved Oxygen as O2 = 11.7"
GROUNDWATER,2010-05,2010,5,HURY FARM,54.579331947344905,-2.0607675176590723,0.59,0.0,5.22,12.3,"Dissolved Organic Carbon Content = 0.59           , pH =           0.0           , Nitrate as N = 5.22           , Dissolved Oxygen as O2 = 12.3"
GROUNDWATER,2010-07,2010,7,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,1.24,7.22,1.06,10.4,"Dissolved Organic Carbon Content = 1.24           , pH =           7.22           , Nitrate as N = 1.06           , Dissolved Oxygen as O2 = 10.4"
GROUNDWATER,2010-08,2010,8,HURY FARM,54.579331947344905,-2.0607675176590723,0.62,0.0,5.43,11.0,"Dissolved Organic Carbon Content = 0.62           , pH =           0.0           , Nitrate as N = 5.43           , Dissolved Oxygen as O2 = 11.0"
GROUNDWATER,2010-11,2010,11,HURY FARM,54.579331947344905,-2.0607675176590723,1.86,0.0,5.64,1.16,"Dissolved Organic Carbon Content = 1.86           , pH =           0.0           , Nitrate as N = 5.64           , Dissolved Oxygen as O2 = 1.16"
GROUNDWATER,2011-01,2011,1,HURY FARM,54.579331947344905,-2.0607675176590723,1.31,0.0,4.76,11.3,"Dissolved Organic Carbon Content = 1.31           , pH =           0.0           , Nitrate as N = 4.76           , Dissolved Oxygen as O2 = 11.3"
GROUNDWATER,2011-02,2011,2,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,1.64,7.3,1.18,8.18,"Dissolved Organic Carbon Content = 1.64           , pH =           7.3           , Nitrate as N = 1.18           , Dissolved Oxygen as O2 = 8.18"
GROUNDWATER,2011-05,2011,5,HURY FARM,54.579331947344905,-2.0607675176590723,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2011-07,2011,7,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.72,7.42,1.02,5.14,"Dissolved Organic Carbon Content = 0.72           , pH =           7.42           , Nitrate as N = 1.02           , Dissolved Oxygen as O2 = 5.14"
GROUNDWATER,2011-08,2011,8,HURY FARM,54.579331947344905,-2.0607675176590723,15.6,0.0,7.32,10.7,"Dissolved Organic Carbon Content = 15.6           , pH =           0.0           , Nitrate as N = 7.32           , Dissolved Oxygen as O2 = 10.7"
GROUNDWATER,2011-11,2011,11,HURY FARM,54.579331947344905,-2.0607675176590723,1.3,0.0,5.56,9.08,"Dissolved Organic Carbon Content = 1.3           , pH =           0.0           , Nitrate as N = 5.56           , Dissolved Oxygen as O2 = 9.08"
GROUNDWATER,2012-02,2012,2,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.82,0.0,0.246,1.21,"Dissolved Organic Carbon Content = 0.82           , pH =           0.0           , Nitrate as N = 0.246           , Dissolved Oxygen as O2 = 1.21"
GROUNDWATER,2012-05,2012,5,HURY FARM,54.579331947344905,-2.0607675176590723,0.73,0.0,5.88,11.4,"Dissolved Organic Carbon Content = 0.73           , pH =           0.0           , Nitrate as N = 5.88           , Dissolved Oxygen as O2 = 11.4"
GROUNDWATER,2012-07,2012,7,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,1.34,0.0,1.02,1.77,"Dissolved Organic Carbon Content = 1.34           , pH =           0.0           , Nitrate as N = 1.02           , Dissolved Oxygen as O2 = 1.77"
GROUNDWATER,2012-10,2012,10,HURY FARM,54.579331947344905,-2.0607675176590723,1.58,0.0,5.64,10.7,"Dissolved Organic Carbon Content = 1.58           , pH =           0.0           , Nitrate as N = 5.64           , Dissolved Oxygen as O2 = 10.7"
GROUNDWATER,2013-03,2013,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.96,0.0,1.59,5.63,"Dissolved Organic Carbon Content = 0.96           , pH =           0.0           , Nitrate as N = 1.59           , Dissolved Oxygen as O2 = 5.63"
GROUNDWATER,2013-06,2013,6,HURY FARM,54.579331947344905,-2.0607675176590723,0.83,0.0,4.62,12.9,"Dissolved Organic Carbon Content = 0.83           , pH =           0.0           , Nitrate as N = 4.62           , Dissolved Oxygen as O2 = 12.9"
